Trading_Day,Product,Maturity,Settlement_Price,Traded_Volume
2024-07-10,DEBM,2025-04-01,"79,80",
2024-07-10,DEBM,2025-03-01,"84,59",
2024-07-10,DEBM,2025-02-01,"103,33",
2024-07-10,DEBM,2025-01-01,"103,06",
2024-07-11,DEBM,2025-04-01,"80,10",
2024-07-11,DEBM,2025-03-01,"84,98",
2024-07-11,DEBM,2025-02-01,"103,46",
2024-07-11,DEBM,2025-01-01,"103,60",
2024-07-12,DEBM,2025-04-01,"81,40",
2024-07-12,DEBM,2025-03-01,"87,07",
2024-07-12,DEBM,2025-02-01,"104,36",
2024-07-12,DEBM,2025-01-01,"103,64",
2024-07-15,DEBM,2025-04-01,"79,32",
2024-07-15,DEBM,2025-03-01,"85,72",
2024-07-15,DEBM,2025-02-01,"101,54","672,00"
2024-07-15,DEBM,2025-01-01,"101,23",
2024-07-16,DEBM,2025-04-01,"80,77",
2024-07-16,DEBM,2025-03-01,"87,54",
2024-07-16,DEBM,2025-02-01,"103,34",
2024-07-16,DEBM,2025-01-01,"103,62",
2024-07-17,DEBM,2025-04-01,"79,63",
2024-07-17,DEBM,2025-03-01,"85,44",
2024-07-17,DEBM,2025-02-01,"99,85",
2024-07-17,DEBM,2025-01-01,"100,60",
2024-07-18,DEBM,2025-04-01,"79,94",
2024-07-18,DEBM,2025-03-01,"86,79",
2024-07-18,DEBM,2025-02-01,"100,76",
2024-07-18,DEBM,2025-01-01,"100,38","2976,00"
2024-07-19,DEBM,2025-04-01,"79,42",
2024-07-19,DEBM,2025-03-01,"86,15",
2024-07-19,DEBM,2025-02-01,"100,57",
2024-07-19,DEBM,2025-01-01,"99,82",
2024-07-22,DEBM,2025-04-01,"78,64",
2024-07-22,DEBM,2025-03-01,"84,78",
2024-07-22,DEBM,2025-02-01,"98,98",
2024-07-22,DEBM,2025-01-01,"98,53",
2024-07-23,DEBM,2025-04-01,"79,47",
2024-07-23,DEBM,2025-03-01,"85,45",
2024-07-23,DEBM,2025-02-01,"99,37",
2024-07-23,DEBM,2025-01-01,"98,82",
2024-07-24,DEBM,2025-04-01,"81,54",
2024-07-24,DEBM,2025-03-01,"88,37",
2024-07-24,DEBM,2025-02-01,"102,09",
2024-07-24,DEBM,2025-01-01,"101,58","33480,00"
