Trading_Day,Product,Maturity,Settlement_Price,Unit_Price,Traded_Volume,Unit_Volume
2023-10-09,DEBM,2023-10-01,"91,35",2,,1
2023-10-09,G3BM,2024-08-01,"47,48",2,,1
2023-10-09,G3BM,2024-07-01,"47,38",2,"7440,00",1
2023-10-09,G3BM,2024-06-01,"47,02",2,,1
2023-10-09,G3BM,2024-05-01,"47,18",2,,1
2023-10-09,G3BM,2024-04-01,"47,73",2,"720,00",1
2023-10-09,G3BM,2024-03-01,"48,88",2,"2972,00",1
2023-10-09,G3BM,2024-02-01,"49,40",2,"2784,00",1
2023-10-09,G3BM,2024-01-01,"48,94",2,"31248,00",1
2023-10-09,G3BM,2023-12-01,"47,43",2,"168888,00",1
2023-10-09,G3BM,2023-11-01,"43,80",2,"1453680,00",1
2023-10-09,G3BM,2023-10-01,"39,73",2,,1
2023-10-09,G0BY,2029-01-01,,2,,1
2023-10-09,G0BY,2028-01-01,"29,34",2,,1
2023-10-09,G0BY,2027-01-01,"31,55",2,,1
2023-10-09,G0BY,2026-01-01,"38,50",2,"87600,00",1
2023-10-09,G0BY,2025-01-01,"46,75",2,"122640,00",1
2023-10-09,G0BY,2024-01-01,"49,52",2,"131760,00",1
2023-10-09,G0BM,2024-10-01,,2,,1
2023-10-09,G0BM,2024-09-01,"48,89",2,"7200,00",1
2023-10-09,G0BM,2024-08-01,"47,77",2,,1
2023-10-09,G0BM,2024-07-01,"48,23",2,"7440,00",1
2023-10-09,G0BM,2024-06-01,"47,72",2,,1
2023-10-09,G0BM,2024-05-01,"48,07",2,,1
2023-10-09,G0BM,2024-04-01,"48,74",2,,1
2023-10-09,G0BM,2024-03-01,"49,42",2,,1
2023-10-09,G3BM,2024-09-01,"47,90",2,"7200,00",1
2023-10-09,G3BM,2024-11-01,"51,38",2,,1
2023-10-09,G3BM,2024-12-01,"52,09",2,,1
2023-10-09,G3BM,2025-01-01,"51,91",2,,1
2023-10-09,G3BY,2029-01-01,,2,,1
2023-10-09,G3BY,2028-01-01,"27,20",2,,1
2023-10-09,G3BY,2027-01-01,"30,31",2,"8760,00",1
2023-10-09,G3BY,2026-01-01,"37,50",2,"113880,00",1
2023-10-09,G3BY,2025-01-01,"45,75",2,"332880,00",1
2023-10-09,G3BY,2024-01-01,"48,65",2,"1018944,00",1
2023-10-09,G3BM,2026-09-01,"34,94",2,,1
2023-10-09,G3BM,2026-08-01,"34,63",2,,1
2023-10-09,G3BM,2026-07-01,"34,56",2,,1
2023-10-09,G3BM,2026-06-01,"34,97",2,,1
2023-10-09,G3BM,2026-05-01,"35,08",2,,1
2023-10-09,G3BM,2026-04-01,"35,90",2,,1
2023-10-09,G0BM,2024-02-01,"50,03",2,"1392,00",1
2023-10-09,G3BM,2026-03-01,"43,62",2,,1
2023-10-09,G3BM,2026-01-01,"44,16",2,,1
2023-10-09,G3BM,2025-12-01,"46,34",2,,1
2023-10-09,G3BM,2025-11-01,"45,71",2,,1
2023-10-09,G3BM,2025-10-01,"43,11",2,,1
2023-10-09,G3BM,2025-09-01,"42,92",2,,1
2023-10-09,G3BM,2025-08-01,"42,55",2,,1
2023-10-09,G3BM,2025-07-01,"42,46",2,,1
2023-10-09,G3BM,2025-06-01,"43,28",2,,1
2023-10-09,G3BM,2025-05-01,"43,43",2,,1
2023-10-09,G3BM,2025-04-01,"44,43",2,,1
2023-10-09,G3BM,2025-03-01,"51,28",2,,1
2023-10-09,G3BM,2025-02-01,"52,04",2,,1
2023-10-09,G3BM,2026-02-01,"44,27",2,,1
2023-10-09,G0BM,2024-01-01,"49,60",2,"11904,00",1
2023-10-09,G3BM,2024-10-01,"48,46",2,,1
2023-10-09,G0BM,2023-11-01,"44,20",2,"146880,00",1
2023-10-09,DEPM,2024-04-01,"122,13",2,,1
2023-10-09,DEPM,2024-03-01,"133,97",2,,1
2023-10-09,DEPM,2024-02-01,"153,14",2,,1
2023-10-09,DEPM,2024-01-01,"149,74",2,,1
2023-10-09,DEPM,2023-12-01,"134,90",2,"12096,00",1
2023-10-09,DEPM,2023-11-01,"128,50",2,"6864,00",1
2023-10-09,DEPM,2023-10-01,"100,87",2,,1
2023-10-09,DEBY,2033-01-01,"77,00",2,,1
2023-10-09,DEBY,2032-01-01,"79,00",2,,1
2023-10-09,DEBY,2031-01-01,"81,00",2,,1
2023-10-09,DEBY,2030-01-01,"79,06",2,,1
2023-10-09,DEBY,2029-01-01,"81,93",2,,1
2023-10-09,DEPM,2024-05-01,,2,,1
2023-10-09,DEBY,2028-01-01,"83,50",2,,1
2023-10-09,DEBY,2026-01-01,"108,84",2,"201480,00",1
2023-10-09,DEBY,2025-01-01,"118,99",2,"849720,00",1
2023-10-09,DEBY,2024-01-01,"122,83",2,"4040640,00",1
2023-10-09,DEBM,2024-07-01,"116,53",2,,1
2023-10-09,DEBM,2024-06-01,"111,38",2,,1
2023-10-09,DEBM,2024-05-01,"104,73",2,,1
2023-10-09,DEBM,2024-04-01,"113,36",2,,1
2023-10-09,DEBM,2024-03-01,"115,56",2,"16346,00",1
2023-10-09,DEBM,2024-02-01,"130,99",2,"38976,00",1
2023-10-09,DEBM,2024-01-01,"128,21",2,"76632,00",1
2023-10-09,DEBM,2023-12-01,"114,59",2,"485832,00",1
2023-10-09,G0BM,2023-12-01,"47,98",2,"44640,00",1
2023-10-09,DEBY,2027-01-01,"93,50",2,,1
2023-10-09,DEPM,2024-06-01,,2,,1
2023-10-09,DEBM,2023-11-01,"108,88",2,"1495440,00",1
2023-10-09,G0BM,2023-10-01,"40,03",2,,1
2023-10-09,FEUA,2031-12-01,"113,30",4,,3
2023-10-09,FEUA,2030-12-01,"109,32",4,,3
2023-10-09,FEUA,2029-12-01,"105,34",4,,3
2023-10-09,FEUA,2028-12-01,"101,36",4,,3
2023-10-09,FEUA,2027-12-01,"97,30",4,,3
2023-10-09,FEUA,2026-12-01,"93,32",4,,3
2023-10-09,FEUA,2026-09-01,"92,38",4,,3
2023-10-09,DEPM,2024-07-01,,2,,1
2023-10-09,FEUA,2026-03-01,"90,50",4,,3
2023-10-09,FEUA,2025-12-01,"89,58",4,"92000,00",3
2023-10-09,FEUA,2025-09-01,"88,67",4,,3
2023-10-09,FEUA,2025-06-01,"87,80",4,,3
2023-10-09,FEUA,2025-03-01,"86,94",4,,3
2023-10-09,FEUA,2026-06-01,"91,40",4,,3
2023-10-09,FEUA,2024-09-01,"84,84",4,,3
2023-10-09,FEUA,2024-12-01,"85,83",4,"177000,00",3
2023-10-09,DEPY,2024-01-01,"138,84",2,"28296,00",1
2023-10-09,DEPY,2025-01-01,"140,00",2,"53244,00",1
2023-10-09,DEPY,2026-01-01,"128,54",2,"3132,00",1
2023-10-09,DEPY,2028-01-01,"104,71",2,,1
2023-10-09,DEPY,2027-01-01,"114,48",2,,1
2023-10-09,FEUA,2023-10-01,"81,28",4,,3
2023-10-09,FEUA,2023-11-01,"81,56",4,,3
2023-10-09,FEUA,2023-12-01,"81,75",4,"1213000,00",3
2023-10-09,FEUA,2024-03-01,"82,80",4,"3000,00",3
2023-10-09,FEUA,2024-06-01,"83,80",4,,3
2023-10-09,DEPY,2029-01-01,"100,45",2,,1
2023-10-10,G3BM,2024-01-01,"53,52",2,"51336,00",1
2023-10-10,G3BM,2023-10-01,"39,73",2,,1
2023-10-10,G3BM,2023-11-01,"49,21",2,"1576080,00",1
2023-10-10,G3BM,2023-12-01,"52,02",2,"281976,00",1
2023-10-10,G3BM,2024-02-01,"53,88",2,"9744,00",1
2023-10-10,G3BM,2024-08-01,"51,13",2,,1
2023-10-10,G3BM,2024-04-01,"51,85",2,"2160,00",1
2023-10-10,G3BM,2024-05-01,"51,29",2,"2976,00",1
2023-10-10,G3BM,2024-06-01,"50,76",2,"2880,00",1
2023-10-10,G3BM,2024-07-01,"51,03",2,"744,00",1
2023-10-10,G3BM,2024-03-01,"53,30",2,"8173,00",1
2023-10-10,G0BY,2029-01-01,,2,,1
2023-10-10,G0BM,2024-02-01,"54,30",2,"6960,00",1
2023-10-10,G0BY,2027-01-01,"31,46",2,,1
2023-10-10,G0BY,2026-01-01,"39,34",2,"166440,00",1
2023-10-10,G0BY,2025-01-01,"48,77",2,"183960,00",1
2023-10-10,G0BY,2024-01-01,"53,34",2,"483120,00",1
2023-10-10,G0BM,2024-10-01,,2,,1
2023-10-10,G0BM,2024-09-01,"52,41",2,,1
2023-10-10,G0BM,2024-08-01,"51,26",2,,1
2023-10-10,G0BM,2024-07-01,"51,71",2,,1
2023-10-10,G0BM,2024-06-01,"51,82",2,,1
2023-10-10,G0BM,2024-05-01,"52,28",2,"1488,00",1
2023-10-10,G0BM,2024-04-01,"51,99",2,,1
2023-10-10,G0BM,2024-03-01,"53,15",2,,1
2023-10-10,G3BM,2024-09-01,"51,58",2,,1
2023-10-10,G0BY,2028-01-01,"29,89",2,,1
2023-10-10,G3BM,2024-10-01,"51,83",2,,1
2023-10-10,G3BM,2026-01-01,"45,15",2,,1
2023-10-10,G3BM,2024-12-01,"55,70",2,,1
2023-10-10,G3BY,2029-01-01,,2,,1
2023-10-10,G3BY,2028-01-01,"27,75",2,,1
2023-10-10,G3BY,2027-01-01,"30,22",2,,1
2023-10-10,G3BY,2026-01-01,"38,34",2,"70080,00",1
2023-10-10,G3BY,2025-01-01,"47,75",2,"902280,00",1
2023-10-10,G3BY,2024-01-01,"52,56",2,"1625040,00",1
2023-10-10,G3BM,2026-09-01,"35,76",2,,1
2023-10-10,G3BM,2026-08-01,"35,44",2,,1
2023-10-10,G3BM,2026-07-01,"35,37",2,,1
2023-10-10,G3BM,2026-06-01,"35,78",2,,1
2023-10-10,G3BM,2026-05-01,"35,90",2,,1
2023-10-10,G3BM,2026-04-01,"36,74",2,,1
2023-10-10,G3BM,2024-11-01,"54,95",2,,1
2023-10-10,G3BM,2026-03-01,"44,60",2,,1
2023-10-10,G3BM,2025-12-01,"48,09",2,,1
2023-10-10,G3BM,2025-11-01,"47,44",2,,1
2023-10-10,G3BM,2025-10-01,"44,74",2,,1
2023-10-10,G3BM,2025-09-01,"44,50",2,,1
2023-10-10,G3BM,2025-08-01,"44,11",2,,1
2023-10-10,G3BM,2025-07-01,"44,02",2,,1
2023-10-10,G3BM,2025-06-01,"44,86",2,,1
